x,y,z,peakV_mps,log_argmax_hits,is_blowup
515494.000,3761230.000,-42.017,20.4736,97,0
537727.000,3754490.000,-52.221,20.4106,215,0
536008.000,3755180.000,-150.185,20.3971,67,0
546396.000,3750820.000,-35.874,20.3734,168,0
536098.000,3755040.000,-31.873,20.3731,70,0
516092.000,3760840.000,-79.115,20.2355,83,0
515214.000,3761500.000,-40.501,20.2149,76,0
534633.000,3755580.000,-85.143,20.0953,155,0
536628.000,3754870.000,-31.873,20.0797,142,0
536471.000,3754920.000,-31.873,20.0733,162,0
516049.000,3760920.000,-99.959,19.9611,85,0
537391.000,3754750.000,-179.151,19.9279,47,0
516030.000,3760750.000,-19.779,19.9219,82,0
522440.000,3765720.000,-4801.280,19.9042,150,0
522163.000,3765650.000,-4710.530,19.8818,143,0
539587.000,3753770.000,-39.704,19.8453,25,0
534519.000,3755660.000,-120.946,19.8071,121,0
531359.000,3756750.000,-231.835,19.807,10,0
534878.000,3755550.000,-150.056,19.8053,56,0
534908.000,3755480.000,-86.550,19.7949,48,0
540364.000,3753450.000,-21.510,19.749,127,0
534900.000,3755410.000,-21.638,19.7443,26,0
522424.000,3765640.000,-4674.130,19.6859,94,0
540518.000,3753400.000,-44.139,19.6484,66,0
542225.000,3752690.000,-27.061,19.6258,155,0
525653.000,3757160.000,-42.578,19.6036,183,0
530440.000,3756700.000,-93.662,19.5913,108,0
526946.000,3758820.000,-1240.750,19.5348,97,0
541993.000,3752800.000,-27.061,19.5212,225,0
530947.000,3756660.000,-78.378,19.5087,125,0
530544.000,3756720.000,-113.256,19.4261,44,0
516511.000,3760590.000,-104.346,19.3802,138,0
541292.000,3753130.000,-95.031,19.351,96,0
537280.000,3754830.000,-218.456,19.3355,66,0
515839.000,3760900.000,-19.779,19.2715,23,0
515078.000,3761730.000,-77.311,19.2341,121,0
540132.000,3753540.000,-21.510,19.2289,216,0
527130.000,3757040.000,-100.562,19.2208,139,0
531047.000,3756670.000,-103.268,19.1489,70,0
516374.000,3760540.000,-40.920,19.1243,98,0
524211.000,3757220.000,-31.463,19.1082,201,0
515196.000,3761660.000,-98.484,19.0193,84,0
524335.000,3757280.000,-68.839,18.9991,87,0
546375.000,3750880.000,-143.496,18.9672,124,0
525287.000,3757240.000,-83.829,18.964,133,0
524461.000,3757460.000,-180.967,18.9576,126,0
526734.000,3756960.000,-17.362,18.9008,126,0
530368.000,3756630.000,-23.415,18.8309,40,0
537250.000,3754670.000,-44.788,18.807,76,0
542224.000,3752750.000,-108.242,18.7814,118,0
542677.000,3752540.000,-108.058,18.771,51,0
514894.000,3761800.000,-19.328,18.7666,125,0
525904.000,3757400.000,-223.661,18.7543,155,0
538747.000,3754110.000,-19.323,18.6906,148,0
516203.000,3760750.000,-79.115,18.682,73,0
