# TPV6/7 station x2_12_x3_0 farside (along_strike=12000, down_dip=0)
# nearside = STRONG (larger Zp) side; farside = WEAK side.
# Columns: t h-disp h-vel h-stress v-disp v-vel v-stress n-disp n-vel n-stress
# h=strike, v=dip, n=normal; vel m/s, disp m, stress MPa, n-stress COMPRESSION-POSITIVE (drdg3d ref is negative — the viz flips it).  Velocity = imposed split-node Godunov velocity; disp = trapezoidal time-integral.
1.8654476480e-02 -1.5737000120e-141 -8.2340398500e-138 7.0000000000e+01 -6.6112748816e-140 -1.6692102438e-136 -8.0391686252e-136 -9.8352790408e-140 -2.4353445539e-136 1.2000000000e+02
1.9400655539e-02 -6.8635563020e-139 -1.8272018967e-135 7.0000000000e+01 -1.9219628117e-138 -4.8073543591e-135 -2.3153422009e-134 -2.1587043356e-138 -5.2788707095e-135 1.2000000000e+02
2.0146834598e-02 -2.8361360741e-137 -7.2350717652e-134 7.0000000000e+01 -4.9072337227e-137 -1.2157082212e-133 -5.8552628662e-133 -4.3906415932e-137 -1.0661843083e-133 1.2000000000e+02
2.0893013658e-02 -7.6143573657e-136 -1.8925245138e-132 7.0000000000e+01 -1.1130530973e-135 -2.7302400052e-132 -1.3149915334e-131 -8.9404434784e-136 -2.1720248021e-132 1.2000000000e+02
2.1639192717e-02 -1.5535865600e-134 -3.7707701951e-131 7.0000000000e+01 -2.2622227370e-134 -5.4921268725e-131 -2.6452304704e-130 -1.8867314618e-134 -4.6002123342e-131 1.2000000000e+02
2.2385371776e-02 -2.5079584700e-133 -5.9286475514e-130 7.0000000000e+01 -4.1484927588e-133 -9.9637344043e-130 -4.7988914639e-129 -3.9992946217e-133 -9.7536705838e-130 1.2000000000e+02
2.3131550835e-02 -3.1627660395e-132 -7.2121524363e-129 7.0000000000e+01 -6.9043693445e-132 -1.6397628679e-128 -7.8975146643e-128 -8.0668348946e-132 -1.9574406720e-128 1.2000000000e+02
2.3877729894e-02 -2.7922258903e-131 -5.9151256075e-128 7.0000000000e+01 -1.0483668606e-130 -2.4609249487e-127 -1.1852043933e-126 -1.4932417688e-130 -3.5904072659e-127 1.2000000000e+02
2.4623908953e-02 -6.5669062454e-131 -4.2022324408e-128 7.0000000000e+01 -1.4593778323e-129 -3.3845136700e-126 -1.6299407037e-125 -2.5006147087e-129 -5.9431745469e-126 1.2000000000e+02
2.5370088013e-02 3.6286142016e-129 9.9438902971e-126 7.0000000000e+01 -1.8710069973e-128 -4.2852892562e-125 -2.0636299396e-124 -3.7826629413e-128 -8.8741912816e-125 1.2000000000e+02
2.6116267072e-02 9.8022300596e-128 2.4306156525e-124 7.0000000000e+01 -2.2188092239e-127 -5.0171037255e-124 -2.4158876192e-123 -5.1898917542e-127 -1.2009285492e-123 1.2000000000e+02
2.6862446131e-02 1.6924580016e-126 4.0305392048e-123 7.0000000000e+01 -2.4439101040e-126 -5.4540428861e-123 -2.6260940671e-122 -6.4973581411e-126 -1.4823024125e-122 1.2000000000e+02
2.7608625190e-02 2.3648436692e-125 5.4818549147e-122 7.0000000000e+01 -2.5098942868e-125 -5.5268735340e-122 -2.6609436722e-121 -7.4692846734e-125 -1.6796283070e-121 1.2000000000e+02
2.8354804249e-02 2.8666044373e-124 6.5013826731e-121 7.0000000000e+01 -2.4122104402e-124 -5.2400804411e-121 -2.5226386731e-120 -7.9322660516e-124 -1.7579388669e-120 1.2000000000e+02
2.9100983309e-02 3.1121540555e-123 6.9230938596e-120 7.0000000000e+01 -2.1769615820e-123 -4.6643995213e-120 -2.2452795383e-119 -7.8249493502e-123 -1.7089340907e-119 1.2000000000e+02
2.9847162368e-02 3.0817865769e-122 6.7337129266e-119 7.0000000000e+01 -1.8507712740e-122 -3.9107268837e-119 -1.8822896842e-118 -7.2058486243e-122 -1.5507720840e-118 1.2000000000e+02
3.0593341427e-02 2.8169554805e-121 6.0509579201e-118 7.0000000000e+01 -1.4866888361e-121 -3.0976655511e-118 -1.4907834342e-117 -6.2221299293e-121 -1.3195139099e-117 1.2000000000e+02
3.1339520486e-02 2.3972524586e-120 5.0652775172e-117 7.0000000000e+01 -1.1315268111e-120 -2.3246089756e-117 -1.1186076030e-116 -5.0579598749e-120 -1.0569715163e-116 1.2000000000e+02
3.2085699545e-02 1.9118182193e-119 3.9752194986e-116 7.0000000000e+01 -8.1812118105e-120 -1.6570815420e-116 -7.9728999142e-116 -3.8846470715e-119 -7.9994367073e-116 1.2000000000e+02
3.2831878605e-02 1.4363224938e-118 2.9398557386e-115 7.0000000000e+01 -5.6329127759e-119 -1.1248109338e-115 -5.4111958541e-115 -2.8279602220e-118 -5.7386893418e-115 1.2000000000e+02
3.3578057664e-02 1.0209641489e-117 2.0575462434e-114 7.0000000000e+01 -3.7016477779e-118 -7.2869944141e-115 -3.5050975907e-114 -1.9571054329e-117 -3.9138190814e-114 1.2000000000e+02
3.4324236723e-02 6.8915643446e-117 1.3677551448e-113 7.0000000000e+01 -2.3266053024e-117 -4.5151907496e-114 -2.1715124813e-113 -1.2910202698e-116 -2.5444006309e-113 1.2000000000e+02
3.5070415782e-02 4.4315373594e-116 8.6630300369e-113 7.0000000000e+01 -1.4014403744e-116 -2.6811870222e-113 -1.2892715662e-112 -8.1374451642e-116 -1.5806221274e-112 1.2000000000e+02
3.5816594841e-02 2.7222812869e-115 5.2424922589e-112 7.0000000000e+01 -8.1050210470e-116 -1.5286566401e-112 -7.3494483860e-112 -4.9118982523e-115 -9.4037486756e-112 1.2000000000e+02
3.6562773901e-02 1.6015182814e-114 3.0386761507e-111 7.0000000000e+01 -4.5083079976e-115 -8.3826531114e-112 -4.0294904568e-111 -2.8451769193e-114 -5.3690680604e-111 1.2000000000e+02
3.7308952960e-02 9.0431439271e-114 1.6907275304e-110 7.0000000000e+01 -2.4157848153e-114 -4.4284437751e-111 -2.1283343325e-110 -1.5844965650e-113 -2.9474549085e-110 1.2000000000e+02
3.8055132019e-02 4.9110255866e-113 9.0485478338e-110 7.0000000000e+01 -1.2489648782e-113 -2.2572753437e-110 -1.0846496157e-109 -8.4988003182e-113 -1.5585104182e-109 1.2000000000e+02
3.8801311078e-02 2.5697390842e-112 4.6665600128e-109 7.0000000000e+01 -6.2389532593e-113 -1.1117499302e-109 -5.3410209178e-109 -4.3975992223e-112 -7.9505186729e-109 1.2000000000e+02
3.9547490137e-02 1.2977831625e-111 2.3230477334e-108 7.0000000000e+01 -3.0152840510e-112 -5.2979414048e-109 -2.5446758710e-108 -2.1984854204e-111 -3.9188984280e-108 1.2000000000e+02
4.0293669197e-02 6.3355723497e-111 1.1179848455e-107 7.0000000000e+01 -1.4117287621e-111 -2.4459000802e-108 -1.1745404688e-107 -1.0633968352e-110 -1.8690910379e-107 1.2000000000e+02
4.1039848256e-02 2.9940831210e-110 5.2089841493e-107 7.0000000000e+01 -6.4106346212e-111 -1.0952776276e-107 -5.2583940305e-107 -4.9831596474e-110 -8.6371346834e-107 1.2000000000e+02
4.1786027315e-02 1.3715607050e-109 2.3528150179e-106 7.0000000000e+01 -2.8266283661e-110 -4.7627396326e-107 -2.2860248704e-106 -2.2651103566e-109 -3.8718640585e-106 1.2000000000e+02
4.2532206374e-02 6.0978745160e-109 1.0315226929e-105 7.0000000000e+01 -1.2114867447e-109 -2.0132730071e-106 -9.6608964924e-106 -9.9989272560e-109 -1.6857253984e-105 1.2000000000e+02
4.3278385433e-02 2.6342539328e-108 4.3946989526e-105 7.0000000000e+01 -5.0523138065e-109 -8.2813795014e-106 -3.9728614573e-105 -4.2911238084e-108 -7.1358330258e-105 1.2000000000e+02
4.4024564493e-02 1.1069393948e-107 1.8214190725e-104 7.0000000000e+01 -2.0521068427e-108 -3.3179860745e-105 -1.5913161705e-104 -1.7922091962e-107 -2.9399548090e-104 1.2000000000e+02
4.4770743552e-02 4.5291783324e-107 7.3512825611e-104 7.0000000000e+01 -8.1253564418e-108 -1.2960277230e-104 -6.2140176415e-104 -7.2916763563e-107 -1.1800386915e-103 1.2000000000e+02
4.5516922611e-02 1.8061770090e-106 2.8920418155e-103 7.0000000000e+01 -3.1390082858e-107 -4.9396676182e-104 -2.3677026644e-103 -2.8925754923e-106 -4.6185905516e-103 1.2000000000e+02
4.6263101670e-02 7.0264893221e-106 1.1100075087e-102 7.0000000000e+01 -1.1841486359e-106 -1.8385774087e-103 -8.8100314134e-103 -1.1197902498e-105 -1.7642358488e-102 1.2000000000e+02
4.7009280729e-02 2.6688460196e-105 4.1600334102e-102 7.0000000000e+01 -4.3653835904e-106 -6.6881559948e-103 -3.2037806567e-102 -4.2338882804e-105 -6.5825489939e-102 1.2000000000e+02
4.7755459789e-02 9.9052471630e-105 1.5235850337e-101 7.0000000000e+01 -1.5738505557e-105 -2.3795470761e-102 -1.1394785530e-101 -1.5646976354e-104 -2.4008199789e-101 1.2000000000e+02
4.8501638848e-02 3.5949659571e-104 5.4571556040e-101 7.0000000000e+01 -5.5531153426e-105 -8.2861630850e-102 -3.9665718485e-101 -5.6562709861e-104 -8.5659132745e-101 1.2000000000e+02
4.9247817907e-02 1.2768083090e-103 1.9129750234e-100 7.0000000000e+01 -1.9188233808e-104 -2.8260342202e-101 -1.3523330897e-100 -2.0014429515e-103 -2.9918572057e-100 1.2000000000e+02
4.9993996966e-02 4.4407459373e-103 6.5673959796e-100 7.0000000000e+01 -6.4973765051e-104 -9.4459615369e-101 -4.5184674140e-100 -6.9367983027e-103 -1.0236483339e-99 1.2000000000e+02
5.0740176025e-02 1.5134515988e-102 2.2095349026e-99 7.0000000000e+01 -2.1573115337e-103 -3.0961869924e-100 -1.4804887215e-99 -2.3564244313e-102 -3.4330422702e-99 1.2000000000e+02
5.1486355085e-02 5.0574646575e-102 7.2895605625e-99 7.0000000000e+01 -7.0277254024e-103 -9.9580894810e-100 -4.7597156624e-99 -7.8503562914e-102 -1.1292463069e-98 1.2000000000e+02
5.2232534144e-02 1.6580797274e-101 2.3596679071e-98 7.0000000000e+01 -2.2474393774e-102 -3.1443952513e-99 -1.5023226573e-98 -2.5663583751e-101 -3.6452718842e-98 1.2000000000e+02
5.2978713203e-02 5.3361836112e-101 7.4988341202e-98 7.0000000000e+01 -7.0593745447e-102 -9.7531394837e-99 -4.6578508387e-98 -8.2371438037e-101 -1.1554257930e-97 1.2000000000e+02
5.3724892262e-02 1.6867173692e-100 2.3407929983e-97 7.0000000000e+01 -2.1790811640e-101 -2.9731852527e-98 -1.4192929599e-97 -2.5971442729e-100 -3.5979370109e-97 1.2000000000e+02
5.4471071321e-02 5.2391761138e-100 7.1809396228e-97 7.0000000000e+01 -6.6133901926e-101 -8.9121899101e-98 -4.2524308622e-97 -8.0481163935e-100 -1.1012422402e-96 1.2000000000e+02
5.5217250381e-02 1.5999482021e-99 2.1660142890e-96 7.0000000000e+01 -1.9743506309e-100 -2.6280746570e-97 -1.2533923251e-96 -2.4523384999e-99 -3.3146599224e-96 1.2000000000e+02
5.5963429440e-02 4.8059029296e-99 6.4269760610e-96 7.0000000000e+01 -5.8005790735e-100 -7.6274488542e-97 -3.6359578638e-96 -7.3511445791e-99 -9.8157168118e-96 1.2000000000e+02
5.6709608499e-02 1.4205791902e-98 1.8767751282e-95 7.0000000000e+01 -1.6778573474e-99 -2.1797108872e-96 -1.0385377630e-95 -2.1687521540e-98 -2.8610386908e-95 1.2000000000e+02
5.7455787558e-02 4.1339418231e-98 5.3959098914e-95 7.0000000000e+01 -4.7803265952e-99 -6.1359050754e-96 -2.9219953207e-95 -6.2998388565e-98 -8.2116030607e-95 1.2000000000e+02
5.8201966617e-02 1.1848165598e-97 1.5280692273e-94 7.0000000000e+01 -1.3420050076e-98 -1.7021334127e-95 -8.1015023464e-95 -1.8025620235e-97 -2.3217264404e-94 1.2000000000e+02
5.8948145677e-02 3.3457835405e-97 4.2640176829e-94 7.0000000000e+01 -3.7137547248e-98 -4.6549190615e-95 -2.2143627228e-94 -5.0823189120e-97 -6.4690774508e-94 1.2000000000e+02
5.9694324736e-02 9.3125754581e-97 1.1728904777e-93 7.0000000000e+01 -1.0134374016e-97 -1.2554406802e-94 -5.9688554730e-94 -1.4125620308e-96 -1.7769880437e-93 1.2000000000e+02
6.0440503795e-02 2.5557936964e-96 3.1813891835e-93 7.0000000000e+01 -2.7281065812e-97 -3.3404245038e-94 -1.5872610019e-93 -3.8715400117e-96 -4.8138642472e-93 1.2000000000e+02
6.1186682854e-02 6.9186037509e-96 8.5123457204e-93 7.0000000000e+01 -7.2469745661e-97 -8.7715958729e-94 -4.1655343017e-93 -1.0467459578e-95 -1.2865322766e-92 1.2000000000e+02
6.1932861913e-02 1.8479687700e-95 2.2475079635e-92 7.0000000000e+01 -1.9003253328e-96 -2.2739014395e-93 -1.0792020845e-92 -2.7927057809e-95 -3.3932019014e-92 1.2000000000e+02
