# TPV6/7 station x2_0_x3_0 nearside (along_strike=0, down_dip=0)
# nearside = STRONG (larger Zp) side; farside = WEAK side.
# Columns: t h-disp h-vel h-stress v-disp v-vel v-stress n-disp n-vel n-stress
# h=strike, v=dip, n=normal; vel m/s, disp m, stress MPa, n-stress COMPRESSION-POSITIVE (drdg3d ref is negative — the viz flips it).  Velocity = imposed split-node Godunov velocity; disp = trapezoidal time-integral.
1.7908297421e-02 -1.1990446311e-81 -2.6789442798e-78 7.0000000000e+01 -3.5477580847e-81 -7.9269776571e-78 -6.0974105047e-77 -3.5597210901e-81 -7.9528865111e-78 1.2000000000e+02
1.8654476480e-02 -1.1978021167e-80 -2.6212181525e-77 7.0000000000e+01 -3.5452148151e-80 -7.7587054592e-77 -5.9667777082e-76 -3.5552268541e-80 -7.7797435900e-77 1.2000000000e+02
1.9400655539e-02 -1.0850798575e-79 -2.3251918703e-76 7.0000000000e+01 -3.2126231776e-79 -6.8847617403e-76 -5.2935726123e-75 -3.2199754013e-79 -6.8996807041e-76 1.2000000000e+02
2.0146834598e-02 -8.9865944543e-79 -1.8853409966e-75 7.0000000000e+01 -2.6615555484e-78 -5.5842627934e-75 -4.2927112631e-74 -2.6662492998e-78 -5.5933810286e-75 1.2000000000e+02
2.0893013658e-02 -6.8526434983e-78 -1.4073252265e-74 7.0000000000e+01 -2.0302172416e-77 -4.1698267185e-74 -3.2046909147e-73 -2.0327499614e-77 -4.1744453227e-74 1.2000000000e+02
2.1639192717e-02 -4.8411308082e-77 -9.7317342449e-74 7.0000000000e+01 -1.4347521700e-76 -2.8844512955e-73 -2.2163076420e-72 -1.4358125277e-76 -2.8861526844e-73 1.2000000000e+02
2.2385371776e-02 -3.1859838119e-76 -6.2687096002e-73 7.0000000000e+01 -9.4454175166e-76 -1.8586709675e-72 -1.4277901009e-71 -9.4476548006e-76 -1.8588162828e-72 1.2000000000e+02
2.3131550835e-02 -1.9627579700e-75 -3.7800058305e-72 7.0000000000e+01 -5.8209498875e-75 -1.1211672071e-71 -8.6104039808e-71 -5.8194349204e-75 -1.1206866492e-71 1.2000000000e+02
2.3877729894e-02 -1.1368693455e-74 -2.1430928110e-71 7.0000000000e+01 -3.3727909044e-74 -6.3587958963e-71 -4.8821996985e-70 -3.3702496148e-74 -6.3528710403e-71 1.2000000000e+02
2.4623908953e-02 -6.2155168881e-74 -1.1469316918e-70 7.0000000000e+01 -1.8446348665e-73 -3.4043189592e-70 -2.6130913113e-69 -1.8423404095e-73 -3.3994427089e-70 1.2000000000e+02
2.5370088013e-02 -3.2188710895e-73 -5.8147201226e-70 7.0000000000e+01 -9.5563927569e-73 -1.7265673840e-69 -1.3249140118e-68 -9.5398364104e-73 -1.7232323637e-69 1.2000000000e+02
2.6116267072e-02 -1.5841000386e-72 -2.8016648208e-69 7.0000000000e+01 -4.7047188213e-72 -8.3221722567e-69 -6.3843511453e-68 -4.6942723540e-72 -8.3019450165e-69 1.2000000000e+02
2.6862446131e-02 -7.4298804674e-72 -1.2866907908e-68 7.0000000000e+01 -2.2074838618e-71 -3.8235338525e-68 -2.9323577446e-67 -2.2015044489e-71 -3.8123298152e-68 1.2000000000e+02
2.7608625190e-02 -3.3301093187e-71 -5.6476267568e-68 7.0000000000e+01 -9.8979094398e-71 -1.6789281485e-67 -1.2872179118e-66 -9.8662523014e-71 -1.6731660955e-67 1.2000000000e+02
2.8354804249e-02 -1.4297906794e-70 -2.3749599929e-67 7.0000000000e+01 -4.2514013251e-70 -7.0632372631e-67 -5.4136188062e-66 -4.2357116397e-70 -7.0354310421e-67 1.2000000000e+02
2.9100983309e-02 -5.8938247470e-70 -9.5900878399e-67 7.0000000000e+01 -1.7532253709e-69 -2.8533720921e-66 -2.1862615760e-65 -1.7458862063e-69 -2.8406867319e-66 1.2000000000e+02
2.9847162368e-02 -2.3373796419e-69 -3.7261861318e-66 7.0000000000e+01 -6.9559725175e-69 -1.1091664511e-65 -8.4956410811e-65 -6.9233746435e-69 -1.1036648402e-65 1.2000000000e+02
3.0593341427e-02 -8.9350338408e-69 -1.3957650254e-65 7.0000000000e+01 -2.6602418626e-68 -4.1567133309e-65 -3.1827393042e-64 -2.6464292092e-68 -4.1339298651e-65 1.2000000000e+02
3.1339520486e-02 -3.2980999824e-68 -5.0493276604e-65 7.0000000000e+01 -9.8241388246e-68 -1.5044835878e-64 -1.1515579896e-63 -9.7680914977e-68 -1.4954416828e-64 1.2000000000e+02
3.2085699545e-02 -1.1774490364e-67 -1.7670126274e-64 7.0000000000e+01 -3.5090477432e-67 -5.2677082330e-64 -4.0305396651e-63 -3.4872006842e-67 -5.2332154767e-64 1.2000000000e+02
3.2831878605e-02 -4.0718400300e-67 -5.9908866541e-64 7.0000000000e+01 -1.2141337008e-66 -1.7869604877e-63 -1.3667695293e-62 -1.2059309415e-66 -1.7742794438e-63 1.2000000000e+02
3.3578057664e-02 -1.3659143167e-66 -1.9706170960e-63 7.0000000000e+01 -4.0751315992e-66 -5.8814345528e-63 -4.4967437426e-62 -4.0453964109e-66 -5.8364017577e-63 1.2000000000e+02
3.4324236723e-02 -4.4505392804e-66 -6.2971704429e-63 7.0000000000e+01 -1.3285827981e-65 -1.8806195763e-62 -1.4372952576e-61 -1.3181543621e-65 -1.8651412789e-62 1.2000000000e+02
3.5070415782e-02 -1.4102385126e-65 -1.9572882400e-62 7.0000000000e+01 -4.2125362039e-65 -5.8493036110e-62 -4.4686358699e-61 -4.1770873623e-65 -5.7977191698e-62 1.2000000000e+02
3.5816594841e-02 -4.3507372688e-65 -5.9241946826e-62 7.0000000000e+01 -1.3004938840e-64 -1.7717164859e-61 -1.3529643075e-60 -1.2887952341e-64 -1.7550202141e-61 1.2000000000e+02
3.6562773901e-02 -1.3082515853e-64 -1.7479781821e-61 7.0000000000e+01 -3.9133849514e-64 -5.2316724063e-61 -3.9934611557e-60 -3.8758470932e-64 -5.1791112848e-61 1.2000000000e+02
3.7308952960e-02 -3.8381002216e-64 -5.0328302716e-61 7.0000000000e+01 -1.1489926962e-63 -1.5075898323e-60 -1.1502821497e-59 -1.1372654701e-63 -1.4914745586e-60 1.2000000000e+02
3.8055132019e-02 -1.0996374495e-63 -1.4153648323e-60 7.0000000000e+01 -3.2947045675e-63 -4.2436084755e-60 -3.2364145298e-59 -3.2589891405e-63 -4.1954276515e-60 1.2000000000e+02
3.8801311078e-02 -3.0794810671e-63 -3.8912531790e-60 7.0000000000e+01 -9.2350566692e-63 -1.1678446770e-59 -8.9026010673e-59 -9.1288991447e-63 -1.1537820104e-59 1.2000000000e+02
3.9547490137e-02 -8.4365317311e-63 -1.0467366506e-59 7.0000000000e+01 -2.5325209707e-62 -3.1448341202e-59 -2.3962263689e-58 -2.5016932165e-62 -3.1047221178e-59 1.2000000000e+02
4.0293669197e-02 -2.2628248412e-62 -2.7571001112e-59 7.0000000000e+01 -6.7998963873e-62 -8.2931052432e-59 -6.3159803026e-58 -6.7123461502e-62 -8.1811827380e-59 1.2000000000e+02
4.1039848256e-02 -5.9464919173e-62 -7.1163130614e-59 7.0000000000e+01 -1.7890110297e-61 -2.1432236878e-58 -1.6314723955e-57 -1.7646724508e-61 -2.1126469957e-58 1.2000000000e+02
4.1786027315e-02 -1.5321363451e-61 -1.8011359494e-58 7.0000000000e+01 -4.6152227717e-61 -5.4319332592e-58 -4.1328569243e-57 -4.5489360340e-61 -5.3500753868e-58 1.2000000000e+02
4.2532206374e-02 -3.8729970267e-61 -4.4731239693e-58 7.0000000000e+01 -1.1682389287e-60 -1.3510347225e-57 -1.0274038095e-56 -1.1505379100e-60 -1.3295430621e-57 1.2000000000e+02
4.3278385433e-02 -9.6112607080e-61 -1.0907269277e-57 7.0000000000e+01 -2.9033845847e-60 -3.2997140076e-57 -2.5079830236e-56 -2.8570041829e-60 -3.2443356923e-57 1.2000000000e+02
4.4024564493e-02 -2.3428909424e-60 -2.6128475817e-57 7.0000000000e+01 -7.0887720678e-60 -7.9184713101e-57 -6.0153111418e-56 -6.9694448378e-60 -7.7783286516e-57 1.2000000000e+02
4.4770743552e-02 -5.6131039239e-60 -6.1523755675e-57 7.0000000000e+01 -1.7012837005e-59 -1.8681216298e-56 -1.4183554493e-55 -1.6711189981e-59 -1.8332683237e-56 1.2000000000e+02
4.5516922611e-02 -1.3223933796e-59 -1.4247097664e-56 7.0000000000e+01 -4.0156365313e-59 -4.3350887183e-56 -3.2895442130e-55 -3.9406675603e-59 -4.2498521667e-56 1.2000000000e+02
4.6263101670e-02 -3.0650625180e-59 -3.2462043175e-56 7.0000000000e+01 -9.3266204874e-59 -9.9000573653e-56 -7.5080604452e-55 -9.1433299880e-59 -9.6949573628e-56 1.2000000000e+02
4.7009280729e-02 -6.9926452224e-59 -7.2809812314e-56 7.0000000000e+01 -2.1325301432e-58 -2.2260268758e-55 -1.6872022406e-54 -2.0884226231e-58 -2.1774422803e-55 1.2000000000e+02
4.7755459789e-02 -1.5709342167e-58 -1.6082571624e-55 7.0000000000e+01 -4.8024709821e-58 -4.9302737626e-55 -3.7346396815e-54 -4.6979449248e-58 -4.8169172358e-55 1.2000000000e+02
4.8501638848e-02 -3.4767117315e-58 -3.4998398589e-55 7.0000000000e+01 -1.0656641291e-57 -1.0760786545e-54 -8.1462308257e-54 -1.0412585989e-57 -1.0500159794e-54 1.2000000000e+02
4.9247817907e-02 -7.5830302698e-58 -7.5064152421e-55 7.0000000000e+01 -2.3309846920e-57 -2.3153876357e-54 -1.7517226745e-53 -2.2748146669e-57 -2.2563112428e-54 1.2000000000e+02
4.9993996966e-02 -1.6305696338e-57 -1.5873136784e-54 7.0000000000e+01 -5.0279390982e-57 -4.9133180562e-54 -3.7148322508e-53 -4.9004526991e-57 -4.7812436171e-54 1.2000000000e+02
5.0740176025e-02 -3.4578606982e-57 -3.3104143988e-54 7.0000000000e+01 -1.0698703568e-56 -1.0286155583e-53 -7.7720152235e-53 -1.0413243018e-56 -9.9948084602e-54 1.2000000000e+02
5.1486355085e-02 -7.2341363317e-57 -6.8112195093e-54 7.0000000000e+01 -2.2465355081e-56 -2.1252256994e-53 -1.6047047955e-52 -2.1834510863e-56 -2.0617864743e-53 1.2000000000e+02
